"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2023-03","Entire vacation home - entire_home","182","43.16","1767.12"
"2023-04","Entire vacation home - entire_home","253","68.58","3075.72"
"2023-05","Entire vacation home - entire_home","196","58.12","2436.11"
"2023-06","Entire vacation home - entire_home","268","62.51","2822.50"
"2023-07","Entire vacation home - entire_home","361","77.99","4650.24"
"2023-08","Entire vacation home - entire_home","308","67.35","3840.19"
"2023-09","Entire vacation home - entire_home","251","58.37","2751.18"
"2023-10","Entire vacation home - entire_home","208","53.71","2469.40"
"2022-11","Hut - entire_home","9","36.00","828.00"
"2022-12","Hut - entire_home","22","85.20","2090.00"
"2023-01","Hut - entire_home","1","3.90","97.00"
"2023-02","Hut - entire_home","28","100.00","2772.00"
"2023-03","Hut - entire_home","3","11.60","294.00"
"2023-04","Hut - entire_home","8","32.00","792.00"
"2023-05","Hut - entire_home","5","19.40","500.00"
"2023-06","Hut - entire_home","10","40.00","1000.00"
"2023-07","Hut - entire_home","7","27.10","721.00"
"2023-08","Hut - entire_home","7","27.10","707.00"
"2023-09","Hut - entire_home","24","96.00","2400.00"
"2023-01","Private room - private_room","3","27.70","477.00"
"2023-02","Private room - private_room","18","77.10","2610.00"
"2023-03","Private room - private_room","4","15.50","544.00"
"2023-04","Private room - private_room","14","56.00","1974.00"
"2023-05","Private room - private_room","17","65.80","2465.00"
"2023-06","Private room - private_room","26","100.00","3666.00"
"2023-07","Private room - private_room","18","69.70","2988.00"
"2023-08","Private room - private_room","23","89.00","3496.00"
"2023-09","Private room - private_room","15","60.00","2430.00"
"2023-10","Private room - private_room","23","89.00","3611.00"
"2023-03","Private room in apartment - private_room","3","51.40","81.00"
"2022-11","Private room in bed and breakfast - private_room","81","57.43","998.38"
"2022-12","Private room in bed and breakfast - private_room","101","73.05","1249.88"
"2023-01","Private room in bed and breakfast - private_room","74","47.27","688.00"
"2023-02","Private room in bed and breakfast - private_room","148","62.51","1122.43"
"2023-03","Private room in bed and breakfast - private_room","194","56.33","1007.06"
"2023-04","Private room in bed and breakfast - private_room","262","66.86","1328.40"
"2023-05","Private room in bed and breakfast - private_room","245","56.58","1316.60"
"2023-06","Private room in bed and breakfast - private_room","292","68.38","1504.95"
"2023-07","Private room in bed and breakfast - private_room","429","85.49","2278.10"
"2023-08","Private room in bed and breakfast - private_room","480","85.94","2179.04"
"2023-09","Private room in bed and breakfast - private_room","444","75.20","2262.13"
"2023-10","Private room in bed and breakfast - private_room","310","64.83","2360.83"
"2022-11","Private room in bungalow - private_room","47","37.60","507.40"
"2022-12","Private room in bungalow - private_room","36","63.58","509.75"
"2023-01","Private room in bungalow - private_room","36","75.83","485.67"
"2023-02","Private room in bungalow - private_room","45","68.23","490.50"
"2023-03","Private room in bungalow - private_room","75","67.55","608.17"
"2023-04","Private room in bungalow - private_room","80","52.27","773.83"
"2023-05","Private room in bungalow - private_room","80","52.83","739.50"
"2023-06","Private room in bungalow - private_room","97","75.58","971.33"
"2023-07","Private room in bungalow - private_room","107","68.60","1135.33"
"2023-08","Private room in bungalow - private_room","93","56.42","962.50"
"2023-09","Private room in bungalow - private_room","128","77.33","1284.33"
"2023-10","Private room in bungalow - private_room","75","45.05","625.17"
"2023-02","Private room in casa particular - private_room","5","37.50","765.00"
"2023-03","Private room in casa particular - private_room","5","35.30","655.00"
"2023-04","Private room in casa particular - private_room","7","46.70","1043.00"
"2023-05","Private room in casa particular - private_room","20","53.30","676.00"
"2023-06","Private room in casa particular - private_room","25","34.87","874.00"
"2023-07","Private room in casa particular - private_room","27","36.03","582.67"
"2023-08","Private room in casa particular - private_room","27","30.45","502.75"
"2023-09","Private room in casa particular - private_room","33","28.84","741.40"
"2023-10","Private room in casa particular - private_room","5","5.15","182.75"
"2022-12","Private room in chalet - private_room","7","60.00","600.00"
"2023-05","Private room in chalet - private_room","1","24.00","99.00"
"2023-06","Private room in chalet - private_room","3","24.00","335.00"
"2023-07","Private room in chalet - private_room","6","48.00","522.00"
"2023-08","Private room in chalet - private_room","8","100.00","740.00"
"2023-09","Private room in chalet - private_room","26","100.00","2236.00"
"2023-10","Private room in chalet - private_room","28","100.00","2324.00"
"2022-11","Private room in condo - private_room","406","63.38","968.73"
"2022-12","Private room in condo - private_room","390","60.10","978.17"
"2023-01","Private room in condo - private_room","259","46.62","537.53"
"2023-02","Private room in condo - private_room","437","54.63","672.70"
"2023-03","Private room in condo - private_room","579","59.90","897.10"
"2023-04","Private room in condo - private_room","752","70.52","1104.44"
"2023-05","Private room in condo - private_room","771","66.90","1220.98"
"2023-06","Private room in condo - private_room","877","70.99","1090.97"
"2023-07","Private room in condo - private_room","1306","77.84","1540.60"
"2023-08","Private room in condo - private_room","1324","71.99","1443.86"
"2023-09","Private room in condo - private_room","1227","76.80","1514.26"
"2023-10","Private room in condo - private_room","787","55.29","1109.78"
"2022-11","Private room in cottage - private_room","39","58.20","1342.00"
"2022-12","Private room in cottage - private_room","25","41.90","879.33"
